collisions,steps,timestamp
9.0,451.0,1551182973.905792
9.0,452.0,1551182973.913333
11.0,453.0,1551182973.9331179
9.0,454.0,1551182973.945726
7.0,455.0,1551182973.959382
8.0,456.0,1551182973.972915
10.0,457.0,1551182973.97991
8.0,458.0,1551182973.994924
5.0,459.0,1551182974.0088708
6.0,460.0,1551182974.024532
5.0,461.0,1551182974.040352
6.0,462.0,1551182974.048476
4.0,463.0,1551182974.066027
5.0,464.0,1551182974.079299
7.0,465.0,1551182974.092247
6.0,466.0,1551182974.106653
2.0,467.0,1551182974.1128068
5.0,468.0,1551182974.129802
7.0,469.0,1551182974.146528
6.0,470.0,1551182974.159271
9.0,471.0,1551182974.174174
5.0,472.0,1551182974.1895318
7.0,473.0,1551182974.2085571
6.0,474.0,1551182974.22131
8.0,475.0,1551182974.227539
8.0,476.0,1551182974.245006
7.0,477.0,1551182974.257704
7.0,478.0,1551182974.2732
6.0,479.0,1551182974.2794838
9.0,480.0,1551182974.297604
6.0,481.0,1551182974.3139699
10.0,482.0,1551182974.329023
7.0,483.0,1551182974.3443809
9.0,484.0,1551182974.357961
10.0,485.0,1551182974.372622
9.0,486.0,1551182974.3902621
7.0,487.0,1551182974.397129
8.0,488.0,1551182974.4109461
5.0,489.0,1551182974.424151
8.0,490.0,1551182974.442844
7.0,491.0,1551182974.455849
7.0,492.0,1551182974.4728909
3.0,493.0,1551182974.47908
11.0,494.0,1551182974.4957461
12.0,495.0,1551182974.5089579
13.0,496.0,1551182974.522384
12.0,497.0,1551182974.529693
11.0,498.0,1551182974.543763
13.0,499.0,1551182974.558086
10.0,500.0,1551182974.5729122
10.0,501.0,1551182974.591279
11.0,502.0,1551182974.606802
11.0,503.0,1551182974.612672
11.0,504.0,1551182974.629045
11.0,505.0,1551182974.642806
13.0,506.0,1551182974.660067
12.0,507.0,1551182974.674253
6.0,508.0,1551182974.691552
11.0,509.0,1551182974.7090728
12.0,510.0,1551182974.7250078
13.0,511.0,1551182974.741447
8.0,512.0,1551182974.755766
14.0,513.0,1551182974.7634811
12.0,514.0,1551182974.776594
12.0,515.0,1551182974.790005
9.0,516.0,1551182974.796061
9.0,517.0,1551182974.8109188
10.0,518.0,1551182974.82545
9.0,519.0,1551182974.839028
8.0,520.0,1551182974.8454661
9.0,521.0,1551182974.858766
7.0,522.0,1551182974.8717928
8.0,523.0,1551182974.89083
7.0,524.0,1551182974.90656
8.0,525.0,1551182974.9161742
7.0,526.0,1551182974.9305
7.0,527.0,1551182974.943115
9.0,528.0,1551182974.9569468
6.0,529.0,1551182974.963918
6.0,530.0,1551182974.981287
9.0,531.0,1551182974.994959
5.0,532.0,1551182975.008637
4.0,533.0,1551182975.023061
6.0,534.0,1551182975.042929
7.0,535.0,1551182975.057718
6.0,536.0,1551182975.0723462
8.0,537.0,1551182975.07851
8.0,538.0,1551182975.0945
5.0,539.0,1551182975.110484
